283 190 65392 16416 1212 1664
241 196 65425 16392 1192 1656
227 144 65479 16420 1184 1592
199 110 65444 16416 1116 1396
208 88 65393 16468 1168 1280
215 82 65382 16424 1168 1500
267 144 65396 16452 1180 1640
275 151 65404 16416 1216 1636
492 141 65412 16464 1256 1648
225 115 65446 16440 1144 1612
191 144 65434 16444 1212 1536
221 128 65436 16460 1128 1436
243 124 65429 16508 1140 1544
218 98 65421 16392 1208 1500
240 152 65427 16380 1196 1304
212 175 65414 16628 1220 1572
252 178 65418 16616 1208 1700
225 155 65432 16440 1224 1608
207 94 65377 16408 1176 1612
221 76 65410 16492 1160 1468
236 68 65402 16512 1152 1472
9 138 65407 16616 1192 1584
273 180 65422 16484 1184 1328
248 223 65483 16436 1192 1692
191 178 65473 16408 1188 1596
225 129 65424 16136 1168 1568
240 76 65357 16468 1196 1604
232 104 65388 16456 1172 1476
251 130 65347 16460 1172 1528
4 134 65383 16424 1184 1564
222 135 65439 16400 1212 1588
229 187 65447 16400 1188 1608
224 142 65410 16436 1260 1744
203 131 65423 16432 1288 1568
212 82 65411 16420 1116 1632
245 117 65406 16460 1136 1484
0 150 65401 16428 1160 1532
244 182 65423 16472 1200 1588
244 159 65448 16448 1176 1624
234 126 65415 16460 1192 1568
192 91 65379 16520 1196 1600
233 105 65388 16392 1184 1540
231 116 65428 16448 1184 1592
195 119 65443 16460 1208 1340
200 160 65439 16508 1140 1644
203 184 65397 16456 1216 1556
219 112 65402 16636 1200 1540
241 117 65415 16516 1180 1508
221 113 65421 16496 1164 1288
243 156 65435 16444 1152 1572
204 166 65433 16456 1204 1600
244 132 65426 16444 1208 1564
238 129 65423 16428 1184 1648
231 119 65424 16400 1140 1336
1 139 65426 16476 1148 1520
213 149 65424 16448 1136 1584
207 170 65418 16460 1208 1280
244 134 65410 16412 1224 1460
243 139 65458 16448 1208 1580
256 139 65404 16392 1188 1580
226 150 65406 16464 1196 1600
228 125 65408 16456 1148 1552
212 128 65436 16456 1148 1460
235 176 65445 16444 1164 1496
213 151 65411 16392 1200 1668
231 122 65420 16416 1216 1588
213 107 65408 16468 1256 1340
215 119 65428 16400 1112 1516
243 101 65426 16408 1160 1452
209 141 65431 16448 1148 1424
221 142 65418 16420 1132 1780
222 151 65438 16456 1236 1612
247 140 65421 16384 1236 1600
241 163 65400 16372 1196 1528
224 169 65422 16400 1236 1632
225 98 65366 16512 1108 1604
199 53 65372 16504 1172 1452
208 123 65330 16464 1204 1376
244 161 65405 16496 1244 1564
283 193 65484 16408 1156 1684
507 166 65473 16392 1192 1668
235 119 65465 16364 1180 1540
190 84 65426 16380 1128 1580
183 90 65393 16512 1164 1448
216 109 65407 16436 1124 1488
286 164 65374 16444 1128 1604
255 177 65393 16440 1160 1576
224 165 65427 16464 1176 1548
213 148 65448 16432 1144 1552
230 119 65443 16416 1184 1308
224 125 65382 16396 1280 1788
226 92 65376 16440 1200 1584
201 138 65398 16416 1128 1572
228 141 65448 16436 1192 1700
219 161 65477 16636 1192 1604
192 178 65471 16420 1196 1580
220 127 65432 16404 1200 1456
203 110 65407 16460 1176 1340
230 89 65410 16444 1192 1496
225 97 65408 16476 1164 1472
260 124 65414 16448 1128 1776
221 180 65407 16400 1132 1648
215 141 65435 16412 1224 1636
251 165 65433 16468 1220 1592
208 130 65421 16452 1164 1656
188 125 65375 16448 1208 1308
202 102 65376 16464 1200 1492
268 96 65406 16480 1184 1440
1 123 65389 16484 1168 1284
222 125 65481 16492 1180 1600
208 161 65472 16420 1140 1596
218 142 65476 16416 1120 1616
216 104 65456 16384 1192 1496
201 100 65346 16500 1152 1524
221 85 65288 16480 1164 1520
247 99 65382 16472 1232 1556
263 181 65428 16360 1204 1644
245 197 65452 16372 1176 1552
198 133 65429 16440 1164 1584
172 101 65421 16472 1152 1544
174 90 65452 16448 1168 1492
217 104 65389 16468 1180 1408
5 125 65360 16412 1156 1612
244 183 65379 16512 1204 1760
237 178 65439 16396 1228 1336
241 162 65457 16152 1176 1684
153 127 65436 16500 1112 1620
196 122 65400 16460 1148 1512
254 95 65395 16464 1152 1488
229 118 65395 16448 1204 1536
226 120 65378 16396 1196 1572
260 142 65431 16428 1228 1612
507 154 65434 16368 1192 1640
249 160 65443 16468 1116 1592
234 140 65458 16428 1208 1568
234 136 65439 16448 1216 1596
